ext_id,hero_name,set,mechanic,status,wp,decision,handler,designs
bkwd/red-guardian,Red Guardian,bkwd,undercover,executable,WP-282,D-24060,packages/game-engine/src/hero/heroEffects.execute.ts#undercover,champion-of-the-winter-guard|death-was-only-a-ruse|magnetic-shield|sleeper-agent
bkwd/red-guardian,Red Guardian,bkwd,unleash,unsupported,,,,champion-of-the-winter-guard|death-was-only-a-ruse|magnetic-shield|sleeper-agent
bkwd/red-guardian,Red Guardian,bkwd,when-recruited,unsupported,,,,champion-of-the-winter-guard|death-was-only-a-ruse|magnetic-shield|sleeper-agent
bkwd/white-tiger,White Tiger,bkwd,dark-memories,unsupported,,,,dark-influence-of-the-hand|shadowed-resurrection
bkwd/white-tiger,White Tiger,bkwd,dodge,executable,WP-275,D-24051,packages/game-engine/src/moves/dodgeCard.ts,dark-influence-of-the-hand
bkwd/yelena-belova,Yelena Belova,bkwd,dodge,executable,WP-275,D-24051,packages/game-engine/src/moves/dodgeCard.ts,twilight-ops
bkwd/yelena-belova,Yelena Belova,bkwd,undercover,executable,WP-282,D-24060,packages/game-engine/src/hero/heroEffects.execute.ts#undercover,destroy-the-red-room|strike-and-fade|twilight-ops|unveil-identity
bkwd/yelena-belova,Yelena Belova,bkwd,unleash,unsupported,,,,destroy-the-red-room|twilight-ops|unveil-identity
ca75/agent-x-13,Agent X-13,ca75,out-of-time,unsupported,,,,sniper-squad|spy-network
ca75/agent-x-13,Agent X-13,ca75,savior,unsupported,,,,mobilize-for-war
ca75/captain-america-falcon,Captain America (Falcon),ca75,rescue,executable,WP-215,D-21501,packages/game-engine/src/hero/heroEffects.execute.ts#rescue,aerial-catch
ca75/captain-america-falcon,Captain America (Falcon),ca75,savior,unsupported,,,,star-spangled-hero|winged-salvation
ca75/captain-america-1941,Captain America 1941,ca75,draw,executable,WP-022,D-2201,packages/game-engine/src/hero/heroEffects.execute.ts#draw,devoted-patriot
ca75/captain-america-1941,Captain America 1941,ca75,out-of-time,unsupported,,,,devoted-patriot|punch-evil-in-the-face|storm-the-beachhead
ca75/captain-america-1941,Captain America 1941,ca75,rescue,executable,WP-215,D-21501,packages/game-engine/src/hero/heroEffects.execute.ts#rescue,liberate-the-prisoners
ca75/captain-america-1941,Captain America 1941,ca75,savior,unsupported,,,,liberate-the-prisoners|punch-evil-in-the-face
ca75/steve-rogers-director-of-shield,"Steve Rogers, Director of S.H.I.E.L.D.",ca75,out-of-time,unsupported,,,,shadow-of-wars-past
ca75/steve-rogers-director-of-shield,"Steve Rogers, Director of S.H.I.E.L.D.",ca75,rescue,executable,WP-215,D-21501,packages/game-engine/src/hero/heroEffects.execute.ts#rescue,save-the-world
ca75/steve-rogers-director-of-shield,"Steve Rogers, Director of S.H.I.E.L.D.",ca75,savior,unsupported,,,,international-strike-force|save-the-world|shadow-of-wars-past
ca75/winter-soldier,Winter Soldier,ca75,draw,executable,WP-022,D-2201,packages/game-engine/src/hero/heroEffects.execute.ts#draw,sniper-nest
ca75/winter-soldier,Winter Soldier,ca75,out-of-time,unsupported,,,,2-4|bionic-arm|sniper-nest
chmp/gwenpool,Gwenpool,chmp,cheering-crowds,unsupported,,,,i-heard-keywords-are-powerful
chmp/gwenpool,Gwenpool,chmp,demolish,unsupported,,,,im-the-best-at-board-games
chmp/gwenpool,Gwenpool,chmp,draw,executable,WP-022,D-2201,packages/game-engine/src/hero/heroEffects.execute.ts#draw,i-heard-keywords-are-powerful
chmp/gwenpool,Gwenpool,chmp,size-changing,executable,WP-290,D-24074,packages/game-engine/src/hero/heroEffects.execute.ts#size-changing,i-heard-keywords-are-powerful
chmp/gwenpool,Gwenpool,chmp,versatile,unsupported,,,,come-on-nobody-reads-card-names
chmp/ms-marvel,Ms. Marvel,chmp,cheering-crowds,unsupported,,,,need-to-stretch-my-legs|rising-hope
chmp/ms-marvel,Ms. Marvel,chmp,draw,executable,WP-022,D-2201,packages/game-engine/src/hero/heroEffects.execute.ts#draw,long-arm-of-the-law
chmp/ms-marvel,Ms. Marvel,chmp,rescue,executable,WP-215,D-21501,packages/game-engine/src/hero/heroEffects.execute.ts#rescue,long-arm-of-the-law
chmp/ms-marvel,Ms. Marvel,chmp,size-changing,executable,WP-290,D-24074,packages/game-engine/src/hero/heroEffects.execute.ts#size-changing,big-impact|long-arm-of-the-law|need-to-stretch-my-legs|rising-hope
chmp/ms-marvel,Ms. Marvel,chmp,versatile,unsupported,,,,big-impact|rising-hope
chmp/nova,Nova,chmp,cheering-crowds,unsupported,,,,interstellar-hero
chmp/nova,Nova,chmp,rescue,executable,WP-215,D-21501,packages/game-engine/src/hero/heroEffects.execute.ts#rescue,space-cop
chmp/nova,Nova,chmp,size-changing,executable,WP-290,D-24074,packages/game-engine/src/hero/heroEffects.execute.ts#size-changing,growing-nova-force
chmp/nova,Nova,chmp,versatile,unsupported,,,,holographic-projection|interstellar-hero|space-cop
chmp/totally-awesome-hulk,Totally Awesome Hulk,chmp,cheering-crowds,unsupported,,,,incredible-mind-awesome-body
chmp/totally-awesome-hulk,Totally Awesome Hulk,chmp,draw,executable,WP-022,D-2201,packages/game-engine/src/hero/heroEffects.execute.ts#draw,incredible-mind-awesome-body
chmp/totally-awesome-hulk,Totally Awesome Hulk,chmp,size-changing,executable,WP-290,D-24074,packages/game-engine/src/hero/heroEffects.execute.ts#size-changing,7th-smartest-man-in-the-world|beloved-behemoth|growing-pains|incredible-mind-awesome-body
chmp/viv-vision,Viv Vision,chmp,cheering-crowds,unsupported,,,,crowdsourcing
chmp/viv-vision,Viv Vision,chmp,size-changing,executable,WP-290,D-24074,packages/game-engine/src/hero/heroEffects.execute.ts#size-changing,alter-molecular-density|expanding-neural-network
chmp/viv-vision,Viv Vision,chmp,versatile,unsupported,,,,crowdsourcing
co2e/black-widow,Black Widow,co2e,attack-per-count,executable,WP-247,D-24016,packages/game-engine/src/hero/heroEffects.execute.ts#attack-per-count,intelligence-network
co2e/black-widow,Black Widow,co2e,draw,executable,WP-022,D-2201,packages/game-engine/src/hero/heroEffects.execute.ts#draw,intelligence-network
co2e/black-widow,Black Widow,co2e,optional-ko-reward,executable,WP-248,D-24019,packages/game-engine/src/hero/heroEffects.execute.ts#optional-ko-reward,dangerous-rescue
co2e/black-widow,Black Widow,co2e,rescue,executable,WP-215,D-21501,packages/game-engine/src/hero/heroEffects.execute.ts#rescue,gather-intel|intelligence-network
co2e/captain-america,Captain America,co2e,(unmarked),unmarked,,,,
co2e/cyclops,Cyclops,co2e,discard-to-play,executable,WP-383,D-24184,packages/game-engine/src/hero/heroEffects.execute.ts#discard-to-play,determination|optic-blast|x-men-united
co2e/emma-frost,Emma Frost,co2e,draw,executable,WP-022,D-2201,packages/game-engine/src/hero/heroEffects.execute.ts#draw,mental-discipline
co2e/gambit,Gambit,co2e,reveal-cost-attack,executable,WP-253,D-24024,packages/game-engine/src/hero/heroEffects.execute.ts#reveal-cost-attack,high-stakes-jackpot
co2e/hawkeye,Hawkeye,co2e,draw,executable,WP-022,D-2201,packages/game-engine/src/hero/heroEffects.execute.ts#draw,quick-draw
co2e/hulk,Hulk,co2e,ko-wound-reward,executable,WP-382,D-24183,packages/game-engine/src/hero/heroEffects.execute.ts#ko-wound-reward,dont-make-me-angry
co2e/iron-man,Iron Man,co2e,draw,executable,WP-022,D-2201,packages/game-engine/src/hero/heroEffects.execute.ts#draw,endless-invention|quantum-breakthrough
co2e/nick-fury,Nick Fury,co2e,(unmarked),unmarked,,,,
co2e/rogue,Rogue,co2e,optional-ko-reward,executable,WP-248,D-24019,packages/game-engine/src/hero/heroEffects.execute.ts#optional-ko-reward,energy-drain
co2e/spider-man,Spider-Man,co2e,reveal,executable,WP-253,D-24024,packages/game-engine/src/hero/heroEffects.execute.ts#reveal,astonishing-strength|web-shooters|with-great-power
co2e/spider-man,Spider-Man,co2e,reveal-count,unsupported,,,,with-great-power
co2e/spider-man-miles-morales,Spider-Man (Miles Morales),co2e,(unmarked),unmarked,,,,
co2e/storm,Storm,co2e,(unmarked),unmarked,,,,
co2e/thor,Thor,co2e,(unmarked),unmarked,,,,
co2e/wolverine,Wolverine,co2e,draw,executable,WP-022,D-2201,packages/game-engine/src/hero/heroEffects.execute.ts#draw,berserker-rage|frenzied-slashing|keen-senses
co2e/wolverine,Wolverine,co2e,ko-wound-reward,executable,WP-382,D-24183,packages/game-engine/src/hero/heroEffects.execute.ts#ko-wound-reward,healing-factor
core/black-widow,Black Widow,core,attack-per-count,executable,WP-247,D-24016,packages/game-engine/src/hero/heroEffects.execute.ts#attack-per-count,covert-operation
core/black-widow,Black Widow,core,defeat-with-bystander,executable,WP-486,D-24291,packages/game-engine/src/hero/heroEffects.execute.ts#defeat-with-bystander,silent-sniper
core/black-widow,Black Widow,core,draw,executable,WP-022,D-2201,packages/game-engine/src/hero/heroEffects.execute.ts#draw,mission-accomplished
core/black-widow,Black Widow,core,optional-ko-reward,executable,WP-248,D-24019,packages/game-engine/src/hero/heroEffects.execute.ts#optional-ko-reward,dangerous-rescue
core/black-widow,Black Widow,core,rescue,executable,WP-215,D-21501,packages/game-engine/src/hero/heroEffects.execute.ts#rescue,mission-accomplished
core/captain-america,Captain America,core,(unmarked),unmarked,,,,
core/cyclops,Cyclops,core,discard-to-play,executable,WP-383,D-24184,packages/game-engine/src/hero/heroEffects.execute.ts#discard-to-play,determination|optic-blast
core/cyclops,Cyclops,core,return-on-discard,executable,WP-498,D-24301,packages/game-engine/src/hero/heroEffects.execute.ts#return-on-discard,unending-energy
core/deadpool,Deadpool,core,(unmarked),unmarked,,,,
core/emma-frost,Emma Frost,core,draw,executable,WP-022,D-2201,packages/game-engine/src/hero/heroEffects.execute.ts#draw,mental-discipline
core/gambit,Gambit,core,reveal-cost-attack,executable,WP-253,D-24024,packages/game-engine/src/hero/heroEffects.execute.ts#reveal-cost-attack,high-stakes-jackpot
core/hawkeye,Hawkeye,core,draw,executable,WP-022,D-2201,packages/game-engine/src/hero/heroEffects.execute.ts#draw,quick-draw
core/hulk,Hulk,core,gain-wound-each,executable,WP-364,D-24156,packages/game-engine/src/hero/heroEffects.execute.ts#gain-wound-each,crazed-rampage
core/hulk,Hulk,core,ko-wound-reward,executable,WP-382,D-24183,packages/game-engine/src/hero/heroEffects.execute.ts#ko-wound-reward,unstoppable-hulk
core/iron-man,Iron Man,core,draw,executable,WP-022,D-2201,packages/game-engine/src/hero/heroEffects.execute.ts#draw,endless-invention|quantum-breakthrough
core/nick-fury,Nick Fury,core,(unmarked),unmarked,,,,
core/rogue,Rogue,core,copy-powers,executable,,,packages/game-engine/src/hero/heroEffects.execute.ts#copy-powers,copy-powers
core/spider-man,Spider-Man,core,rescue,executable,WP-215,D-21501,packages/game-engine/src/hero/heroEffects.execute.ts#rescue,web-shooters
core/spider-man,Spider-Man,core,reveal,executable,WP-253,D-24024,packages/game-engine/src/hero/heroEffects.execute.ts#reveal,astonishing-strength|great-responsibility|the-amazing-spider-man|web-shooters
core/spider-man,Spider-Man,core,reveal-count,unsupported,,,,the-amazing-spider-man
core/spider-man,Spider-Man,core,reveal-reorder,subsystem,WP-479,D-24286,setup:reveal-reorder-modifier,the-amazing-spider-man
core/storm,Storm,core,draw,executable,WP-022,D-2201,packages/game-engine/src/hero/heroEffects.execute.ts#draw,gathering-stormclouds
core/thor,Thor,core,recruit-as-attack,executable,WP-580,D-24389,packages/game-engine/src/hero/heroEffects.execute.ts#recruit-as-attack,god-of-thunder
core/thor,Thor,core,recruit-threshold,unsupported,,,,surge-of-power
core/wolverine,Wolverine,core,draw,executable,WP-022,D-2201,packages/game-engine/src/hero/heroEffects.execute.ts#draw,berserker-rage|frenzied-slashing|keen-senses
core/wolverine,Wolverine,core,ko-wound-reward,executable,WP-382,D-24183,packages/game-engine/src/hero/heroEffects.execute.ts#ko-wound-reward,healing-factor
cosm/adam-warlock,Adam Warlock,cosm,burn-shards,unsupported,,,,manifest-the-soul-gem|soulblast|transmute-matter
cosm/captain-mar-vell,Captain Mar-Vell,cosm,danger-sense,unsupported,,,,cosmic-awareness|protector-of-the-universe
cosm/moondragon,Moondragon,cosm,danger-sense,unsupported,,,,lunar-dragon-form|psionic-warning|psychokinetic-blast
cosm/nebula,Nebula,cosm,(unmarked),unmarked,,,,
cosm/nova,Nova,cosm,cosmic-threat,unsupported,,,,declare-galactic-threat|mobilize-the-nova-corps
cosm/nova,Nova,cosm,draw,executable,WP-022,D-2201,packages/game-engine/src/hero/heroEffects.execute.ts#draw,draw-from-the-worldmind
cosm/phyla-vell,Phyla-Vell,cosm,draw,executable,WP-022,D-2201,packages/game-engine/src/hero/heroEffects.execute.ts#draw,channel-cosmic-power
cosm/quasar,Quasar,cosm,burn-shards,unsupported,,,,cosmic-champion|the-quantum-bands|the-star-brand
cosm/ronan-the-accuser,Ronan the Accuser,cosm,burn-shards,unsupported,,,,universal-weapon
cosm/ronan-the-accuser,Ronan the Accuser,cosm,contest-of-champions,unsupported,,,,accuse-enemies-of-the-empire|seek-the-infinity-gems
cosm/ronan-the-accuser,Ronan the Accuser,cosm,rescue,executable,WP-215,D-21501,packages/game-engine/src/hero/heroEffects.execute.ts#rescue,rally-kree-warriors
cosm/yondu,Yondu,cosm,burn-shards,unsupported,,,,whistling-arrow
cosm/yondu,Yondu,cosm,danger-sense,unsupported,,,,anticipate-their-movements|interstellar-hunter
cvwr/captain-america-secret-avenger,"Captain America, Secret Avenger",cvwr,(unmarked),unmarked,,,,
cvwr/cloak-dagger,Cloak & Dagger,cvwr,phasing,unsupported,,,,fight|flee
cvwr/cloak-dagger,Cloak & Dagger,cvwr,reveal-ko,executable,WP-253,D-24024,packages/game-engine/src/hero/heroEffects.execute.ts#reveal-ko,darkness
cvwr/cloak-dagger,Cloak & Dagger,cvwr,reveal-min,executable,WP-253,D-24024,packages/game-engine/src/hero/heroEffects.execute.ts#reveal-min,light
cvwr/daredevil,Daredevil,cvwr,(unmarked),unmarked,,,,
cvwr/falcon,Falcon,cvwr,(unmarked),unmarked,,,,
cvwr/goliath,Goliath,cvwr,draw,executable,WP-022,D-2201,packages/game-engine/src/hero/heroEffects.execute.ts#draw,growth-industry
