ext_id,card_name,set,card_type,mechanic,status,wp,decision,handler
amwp-villain-quantum-realm-lord-krylars-valet,Lord Krylar's Valet,amwp,villain,(unmarked),unmarked,,,
amwp-villain-armada-of-kang-lord-krylars-yacht,Lord Krylar's Yacht,amwp,villain,(unmarked),unmarked,,,
amwp-villain-armada-of-kang-m-o-d-o-k,M.O.D.O.K.,amwp,villain,koHeroEachPlayer,executable,WP-189,D-18901,packages/game-engine/src/villain/villainEffects.execute.ts#ko-hero
amwp-villain-armada-of-kang-pursuit-craft,Pursuit Craft,amwp,villain,(unmarked),unmarked,,,
henchman-quantum-hound,Quantum Hound,amwp,henchman,(unmarked),unmarked,,,
amwp-villain-quantum-realm-quantumania,Quantumania,amwp,villain,(unmarked),unmarked,,,
amwp-villain-armada-of-kang-quantumnaut-elite,Quantumnaut Elite,amwp,villain,(unmarked),unmarked,,,
henchman-quantumnauts,Quantumnauts,amwp,henchman,koHeroCurrentPlayer,executable,WP-185,,packages/game-engine/src/villain/villainEffects.execute.ts#ko-hero
amwp-villain-quantum-realm-quantumoeba,Quantumoeba,amwp,villain,(unmarked),unmarked,,,
amwp-villain-cross-technologies-shrinksperiments,Shrinksperiments,amwp,villain,(unmarked),unmarked,,,
amwp-villain-quantum-realm-sky-manta,Sky Manta,amwp,villain,(unmarked),unmarked,,,
amwp-villain-ghost-chasers-sonny-burch,Sonny Burch,amwp,villain,(unmarked),unmarked,,,
amwp-villain-ghost-chasers-sonny-burchs-goons,Sonny Burch's Goons,amwp,villain,(unmarked),unmarked,,,
amwp-villain-cross-technologies-take-over-pym-technologies,Take Over Pym Technologies,amwp,villain,(unmarked),unmarked,,,
amwp-villain-armada-of-kang-troop-ships-of-kang,Troop Ships of Kang,amwp,villain,(unmarked),unmarked,,,
amwp-villain-ghost-chasers-uzman-with-truth-serum,"Uzman, with Truth Serum",amwp,villain,(unmarked),unmarked,,,
amwp-villain-cross-technologies-yellowjacket-prototype,Yellowjacket Prototype,amwp,villain,(unmarked),unmarked,,,
anni-villain-annihilation-wave-annihilation-armada,Annihilation Armada,anni,villain,(unmarked),unmarked,,,
anni-villain-timelines-of-kang-immortus,Immortus,anni,villain,(unmarked),unmarked,,,
anni-villain-timelines-of-kang-iron-lad,Iron Lad,anni,villain,(unmarked),unmarked,,,
anni-villain-timelines-of-kang-pharaoh-rama-tut,Pharaoh Rama-Tut,anni,villain,(unmarked),unmarked,,,
anni-villain-annihilation-wave-queens-of-annihilation,Queens of Annihilation,anni,villain,koHeroCurrentPlayer,executable,WP-185,,packages/game-engine/src/villain/villainEffects.execute.ts#ko-hero
anni-villain-annihilation-wave-ravenous,Ravenous,anni,villain,(unmarked),unmarked,,,
anni-villain-timelines-of-kang-scarlet-centurion,Scarlet Centurion,anni,villain,(unmarked),unmarked,,,
anni-villain-annihilation-wave-weaponized-galactus,Weaponized Galactus,anni,villain,(unmarked),unmarked,,,
antm-villain-ultrons-legacy-alkhema,Alkhema,antm,villain,(unmarked),unmarked,,,
antm-villain-queens-vengeance-blackbird,Blackbird,antm,villain,koHeroCurrentPlayer,executable,WP-185,,packages/game-engine/src/villain/villainEffects.execute.ts#ko-hero
antm-villain-ultrons-legacy-brutish-ultron-14,Brutish Ultron-14,antm,villain,(unmarked),unmarked,,,
antm-villain-ultrons-legacy-crimson-cowl,Crimson Cowl,antm,villain,captureBystander,executable,WP-185,D-18506,packages/game-engine/src/villain/villainEffects.execute.ts#capture-bystander
antm-villain-queens-vengeance-daystar,Daystar,antm,villain,(unmarked),unmarked,,,
antm-villain-ultrons-legacy-future-ultron-prime,Future Ultron Prime,antm,villain,(unmarked),unmarked,,,
antm-villain-queens-vengeance-gigantus,Gigantus,antm,villain,koHeroCurrentPlayer,executable,WP-185,,packages/game-engine/src/villain/villainEffects.execute.ts#ko-hero
antm-villain-queens-vengeance-iron-knight,Iron Knight,antm,villain,(unmarked),unmarked,,,
antm-villain-ultrons-legacy-legions-of-ultron,Legions of Ultron,antm,villain,(unmarked),unmarked,,,
antm-villain-queens-vengeance-mordred-the-evil,Mordred the Evil,antm,villain,(unmarked),unmarked,,,
antm-villain-ultrons-legacy-original-ultron-1,Original Ultron-1,antm,villain,koHeroCurrentPlayer,executable,WP-185,,packages/game-engine/src/villain/villainEffects.execute.ts#ko-hero
antm-villain-queens-vengeance-pixie,Pixie,antm,villain,(unmarked),unmarked,,,
antm-villain-queens-vengeance-star-knight,Star-Knight,antm,villain,(unmarked),unmarked,,,
antm-villain-ultrons-legacy-ultron-roboticks,Ultron Roboticks,antm,villain,koHeroCurrentPlayer,executable,WP-185,,packages/game-engine/src/villain/villainEffects.execute.ts#ko-hero
antm-villain-ultrons-legacy-ultron-pym,Ultron-Pym,antm,villain,(unmarked),unmarked,,,
antm-villain-queens-vengeance-yeoman-america,Yeoman America,antm,villain,(unmarked),unmarked,,,
asrd-villain-dark-council-jarnbjorn-first-axe-of-thor,"Jarnbjorn, First Axe of Thor",asrd,villain,(unmarked),unmarked,,,
asrd-villain-omens-of-ragnarok-jormungand-the-world-serpent,"Jormungand, The World-Serpent",asrd,villain,(unmarked),unmarked,,,
asrd-villain-dark-council-laufey-father-of-loki,"Laufey, Father Of Loki",asrd,villain,(unmarked),unmarked,,,
asrd-villain-dark-council-sindr-fire-giant-queen,"Sindr, Fire Giant Queen",asrd,villain,(unmarked),unmarked,,,
asrd-villain-omens-of-ragnarok-skurge-the-executioner,"Skurge, The Executioner",asrd,villain,koHeroCurrentPlayer,executable,WP-185,,packages/game-engine/src/villain/villainEffects.execute.ts#ko-hero
asrd-villain-omens-of-ragnarok-surtur-fire-giant-king,"Surtur, Fire Giant King",asrd,villain,(unmarked),unmarked,,,
asrd-villain-dark-council-the-casket-of-ancient-winters,The Casket of Ancient Winters,asrd,villain,(unmarked),unmarked,,,
asrd-villain-omens-of-ragnarok-the-eternal-flame,The Eternal Flame,asrd,villain,(unmarked),unmarked,,,
asrd-villain-omens-of-ragnarok-the-fenris-wolf,The Fenris Wolf,asrd,villain,(unmarked),unmarked,,,
asrd-villain-omens-of-ragnarok-the-hel-crown,The Hel-Crown,asrd,villain,(unmarked),unmarked,,,
asrd-villain-dark-council-the-mangog,The Mangog,asrd,villain,(unmarked),unmarked,,,
asrd-villain-dark-council-ulik-the-troll,"Ulik, The Troll",asrd,villain,koHeroCurrentPlayer,executable,WP-185,,packages/game-engine/src/villain/villainEffects.execute.ts#ko-hero
bkpt-villain-killmongers-league-baron-macabre,Baron Macabre,bkpt,villain,(unmarked),unmarked,,,
bkpt-villain-enemies-of-wakanda-jakarra,Jakarra,bkpt,villain,koHeroCurrentPlayer,executable,WP-185,,packages/game-engine/src/villain/villainEffects.execute.ts#ko-hero
bkpt-villain-killmongers-league-malice,Malice,bkpt,villain,(unmarked),unmarked,,,
bkpt-villain-enemies-of-wakanda-nightshade,Nightshade,bkpt,villain,(unmarked),unmarked,,,
bkpt-villain-killmongers-league-preyy,Preyy,bkpt,villain,(unmarked),unmarked,,,
bkpt-villain-enemies-of-wakanda-reverend-achebe,Reverend Achebe,bkpt,villain,(unmarked),unmarked,,,
bkpt-villain-enemies-of-wakanda-tetu,Tetu,bkpt,villain,(unmarked),unmarked,,,
bkpt-villain-killmongers-league-venomm,Venomm,bkpt,villain,(unmarked),unmarked,,,
bkpt-villain-enemies-of-wakanda-zenzi,Zenzi,bkpt,villain,(unmarked),unmarked,,,
bkwd-villain-elite-assassins-black-lotus,Black Lotus,bkwd,villain,(unmarked),unmarked,,,
bkwd-villain-elite-assassins-blue-talon,Blue Talon,bkwd,villain,(unmarked),unmarked,,,
bkwd-villain-taskmasters-thunderbolts-bullseye,Bullseye,bkwd,villain,(unmarked),unmarked,,,
bkwd-villain-elite-assassins-iron-maiden,Iron Maiden,bkwd,villain,(unmarked),unmarked,,,
bkwd-villain-taskmasters-thunderbolts-jack-olantern,Jack O'Lantern,bkwd,villain,(unmarked),unmarked,,,
bkwd-villain-taskmasters-thunderbolts-jester,Jester,bkwd,villain,captureBystander,executable,WP-185,D-18506,packages/game-engine/src/villain/villainEffects.execute.ts#capture-bystander
bkwd-villain-taskmasters-thunderbolts-joystick,Joystick,bkwd,villain,(unmarked),unmarked,,,
bkwd-villain-elite-assassins-snapdragon,Snapdragon,bkwd,villain,(unmarked),unmarked,,,
ca75-villain-masters-of-evil-wwii-black-knight,Black Knight,ca75,villain,captureBystander,executable,WP-185,D-18506,packages/game-engine/src/villain/villainEffects.execute.ts#capture-bystander
ca75-villain-zolas-creations-captain-zolandia,Captain Zolandia,ca75,villain,(unmarked),unmarked,,,
ca75-villain-zolas-creations-doughboy,Doughboy,ca75,villain,koHeroCurrentPlayer,executable,WP-185,,packages/game-engine/src/villain/villainEffects.execute.ts#ko-hero
ca75-villain-masters-of-evil-wwii-executioner,Executioner,ca75,villain,captureBystander,executable,WP-185,D-18506,packages/game-engine/src/villain/villainEffects.execute.ts#capture-bystander
ca75-villain-zolas-creations-man-fish,Man-Fish,ca75,villain,gainWoundEachPlayer,executable,WP-185,,packages/game-engine/src/villain/villainEffects.execute.ts#gain-wound
ca75-villain-masters-of-evil-wwii-melter-wwii,Melter (WWII),ca75,villain,captureBystander,executable,WP-185,D-18506,packages/game-engine/src/villain/villainEffects.execute.ts#capture-bystander
ca75-villain-zolas-creations-primus,Primus,ca75,villain,(unmarked),unmarked,,,
ca75-villain-masters-of-evil-wwii-radioactive-man,Radioactive Man,ca75,villain,captureBystander,executable,WP-185,D-18506,packages/game-engine/src/villain/villainEffects.execute.ts#capture-bystander
chmp-villain-wrecking-crew-bulldozer,Bulldozer,chmp,villain,(unmarked),unmarked,,,
chmp-villain-monsters-unleashed-goom,Goom,chmp,villain,captureBystander,executable,WP-185,D-18506,packages/game-engine/src/villain/villainEffects.execute.ts#capture-bystander
chmp-villain-monsters-unleashed-goom,Goom,chmp,villain,koHeroCurrentPlayer,executable,WP-185,,packages/game-engine/src/villain/villainEffects.execute.ts#ko-hero
chmp-villain-monsters-unleashed-groot-from-planet-x,Groot from Planet X,chmp,villain,(unmarked),unmarked,,,
chmp-villain-monsters-unleashed-monsteroso,Monsteroso,chmp,villain,(unmarked),unmarked,,,
chmp-villain-monsters-unleashed-orrgo,Orrgo,chmp,villain,(unmarked),unmarked,,,
chmp-villain-wrecking-crew-piledriver,Piledriver,chmp,villain,koHeroCurrentPlayer,executable,WP-185,,packages/game-engine/src/villain/villainEffects.execute.ts#ko-hero
chmp-villain-monsters-unleashed-sporr,Sporr,chmp,villain,(unmarked),unmarked,,,
chmp-villain-wrecking-crew-the-wrecker,The Wrecker,chmp,villain,(unmarked),unmarked,,,
chmp-villain-wrecking-crew-thunderball,Thunderball,chmp,villain,(unmarked),unmarked,,,
chmp-villain-monsters-unleashed-tim-boo-ba,Tim Boo Ba,chmp,villain,(unmarked),unmarked,,,
chmp-villain-monsters-unleashed-trull-the-unhuman,Trull the Unhuman,chmp,villain,(unmarked),unmarked,,,
chmp-villain-monsters-unleashed-zzutak,Zzutak,chmp,villain,(unmarked),unmarked,,,
core-villain-radiation-abomination,Abomination,core,villain,(unmarked),unmarked,,,
core-villain-masters-of-evil-baron-zemo,Baron Zemo,core,villain,(unmarked),unmarked,,,
core-villain-brotherhood-blob,Blob,core,villain,(unmarked),unmarked,,,
core-villain-enemies-of-asgard-destroyer,Destroyer,core,villain,koHeroEachPlayerMag2,executable,WP-202,D-20201,packages/game-engine/src/villain/villainEffects.execute.ts#ko-hero
core-villain-spider-foes-doctor-octopus,Doctor Octopus,core,villain,(unmarked),unmarked,,,
henchman-doombot-legion,Doombot Legion,core,henchman,(unmarked),unmarked,,,
core-villain-enemies-of-asgard-enchantress,Enchantress,core,villain,(unmarked),unmarked,,,
core-villain-hydra-endless-armies-of-hydra,Endless Armies of HYDRA,core,villain,(unmarked),unmarked,,,
core-villain-enemies-of-asgard-frost-giant,Frost Giant,core,villain,(unmarked),unmarked,,,
core-villain-spider-foes-green-goblin,Green Goblin,core,villain,captureBystander,executable,WP-185,D-18506,packages/game-engine/src/villain/villainEffects.execute.ts#capture-bystander
core-villain-hydra-hydra-kidnappers,HYDRA Kidnappers,core,villain,(unmarked),unmarked,,,
henchman-hand-ninjas,Hand Ninjas,core,henchman,(unmarked),unmarked,,,
core-villain-brotherhood-juggernaut,Juggernaut,core,villain,(unmarked),unmarked,,,
core-villain-radiation-maestro,Maestro,core,villain,(unmarked),unmarked,,,
core-villain-masters-of-evil-melter,Melter,core,villain,(unmarked),unmarked,,,
core-villain-brotherhood-mystique,Mystique,core,villain,(unmarked),unmarked,,,
core-villain-skrulls-paibok-the-power-skrull,Paibok the Power Skrull,core,villain,(unmarked),unmarked,,,
core-villain-brotherhood-sabretooth,Sabretooth,core,villain,(unmarked),unmarked,,,
henchman-savage-land-mutates,Savage Land Mutates,core,henchman,(unmarked),unmarked,,,
henchman-sentinel,Sentinel,core,henchman,koHeroCurrentPlayer,executable,WP-185,,packages/game-engine/src/villain/villainEffects.execute.ts#ko-hero
core-villain-skrulls-skrull-queen-veranke,Skrull Queen Veranke,core,villain,captureHqHeroHighestCost,executable,WP-214,D-21401,packages/game-engine/src/villain/villainEffects.execute.ts#capture-hq-hero
core-villain-skrulls-skrull-shapeshifters,Skrull Shapeshifters,core,villain,captureHqHeroRightmost,executable,WP-214,D-21401,packages/game-engine/src/villain/villainEffects.execute.ts#capture-hq-hero
core-villain-skrulls-super-skrull,Super-Skrull,core,villain,koHeroEachPlayer,executable,WP-189,D-18901,packages/game-engine/src/villain/villainEffects.execute.ts#ko-hero
core-villain-hydra-supreme-hydra,Supreme HYDRA,core,villain,(unmarked),unmarked,,,
core-villain-radiation-the-leader,The Leader,core,villain,(unmarked),unmarked,,,
core-villain-spider-foes-the-lizard,The Lizard,core,villain,(unmarked),unmarked,,,
core-villain-masters-of-evil-ultron,Ultron,core,villain,(unmarked),unmarked,,,
core-villain-spider-foes-venom,Venom,core,villain,gainWoundEachPlayer,executable,WP-185,,packages/game-engine/src/villain/villainEffects.execute.ts#gain-wound
core-villain-hydra-viper,Viper,core,villain,(unmarked),unmarked,,,
core-villain-masters-of-evil-whirlwind,Whirlwind,core,villain,(unmarked),unmarked,,,
core-villain-enemies-of-asgard-ymir-frost-giant-king,"Ymir, Frost Giant King",core,villain,(unmarked),unmarked,,,
core-villain-radiation-zzzax,Zzzax,core,villain,(unmarked),unmarked,,,
cosm-villain-celestials-arishem-the-judge,"Arishem, The Judge",cosm,villain,(unmarked),unmarked,,,
cosm-villain-black-order-of-thanos-black-dwarf,Black Dwarf,cosm,villain,koHeroCurrentPlayer,executable,WP-185,,packages/game-engine/src/villain/villainEffects.execute.ts#ko-hero
cosm-villain-black-order-of-thanos-corvus-glaive,Corvus Glaive,cosm,villain,(unmarked),unmarked,,,
cosm-villain-black-order-of-thanos-ebony-maw,Ebony Maw,cosm,villain,(unmarked),unmarked,,,
cosm-villain-celestials-exitar-the-exterminator,"Exitar, The Exterminator",cosm,villain,(unmarked),unmarked,,,
cosm-villain-celestials-gammenon-the-gatherer,"Gammenon, The Gatherer",cosm,villain,(unmarked),unmarked,,,
cosm-villain-from-beyond-kosmos,Kosmos,cosm,villain,(unmarked),unmarked,,,
cosm-villain-from-beyond-kubik,Kubik,cosm,villain,(unmarked),unmarked,,,
cosm-villain-celestials-nezarr-the-calculator,"Nezarr, The Calculator",cosm,villain,(unmarked),unmarked,,,
cosm-villain-black-order-of-thanos-proxima-midnight,Proxima Midnight,cosm,villain,(unmarked),unmarked,,,
henchman-sidera-maris-bridge-builders,"Sidera Maris, Bridge Builders",cosm,henchman,(unmarked),unmarked,,,
cosm-villain-black-order-of-thanos-supergiant,Supergiant,cosm,villain,(unmarked),unmarked,,,
cosm-villain-elders-of-the-universe-the-champion-of-the-universe,The Champion of the Universe,cosm,villain,koHeroCurrentPlayer,executable,WP-185,,packages/game-engine/src/villain/villainEffects.execute.ts#ko-hero
cosm-villain-elders-of-the-universe-the-collector,The Collector,cosm,villain,(unmarked),unmarked,,,
cosm-villain-from-beyond-the-mapmakers,The Mapmakers,cosm,villain,koHeroCurrentPlayer,executable,WP-185,,packages/game-engine/src/villain/villainEffects.execute.ts#ko-hero
cosm-villain-elders-of-the-universe-the-runner,The Runner,cosm,villain,(unmarked),unmarked,,,
cosm-villain-from-beyond-the-shaper-of-worlds,The Shaper of Worlds,cosm,villain,(unmarked),unmarked,,,
cosm-villain-elders-of-the-universe-the-trader,The Trader,cosm,villain,(unmarked),unmarked,,,
cosm-villain-celestials-tiamut-the-dreaming-celestial,"Tiamut, The Dreaming Celestial",cosm,villain,(unmarked),unmarked,,,
henchman-universal-church-of-truth,Universal Church of Truth,cosm,henchman,(unmarked),unmarked,,,
cvwr-villain-shield-elite-agent-eric-marshall,Agent Eric Marshall,cvwr,villain,(unmarked),unmarked,,,
cvwr-villain-shield-elite-agent-gabe-jones,Agent Gabe Jones,cvwr,villain,(unmarked),unmarked,,,
cvwr-villain-great-lakes-avengers-big-bertha,Big Bertha,cvwr,villain,(unmarked),unmarked,,,
cvwr-villain-registration-enforcers-blade,Blade,cvwr,villain,(unmarked),unmarked,,,
cvwr-villain-csa-special-marshals-bullseye,Bullseye,cvwr,villain,(unmarked),unmarked,,,
henchman-cape-killers,Cape-Killers,cvwr,henchman,(unmarked),unmarked,,,
cvwr-villain-registration-enforcers-captain-marvel,Captain Marvel,cvwr,villain,(unmarked),unmarked,,,
cvwr-villain-heroes-for-hire-colleen-wing,Colleen Wing,cvwr,villain,(unmarked),unmarked,,,
cvwr-villain-registration-enforcers-deadpool,Deadpool,cvwr,villain,(unmarked),unmarked,,,
cvwr-villain-shield-elite-dum-dum-dugan,Dum Dum Dugan,cvwr,villain,(unmarked),unmarked,,,
cvwr-villain-thunderbolts-fixer,Fixer,cvwr,villain,(unmarked),unmarked,,,
cvwr-villain-great-lakes-avengers-flatman,Flatman,cvwr,villain,(unmarked),unmarked,,,
cvwr-villain-heroes-for-hire-humbug,Humbug,cvwr,villain,koHeroCurrentPlayer,executable,WP-185,,packages/game-engine/src/villain/villainEffects.execute.ts#ko-hero
cvwr-villain-superhuman-registration-act-iron-spider,Iron Spider,cvwr,villain,(unmarked),unmarked,,,
cvwr-villain-thunderbolts-mach-iv,Mach-IV,cvwr,villain,(unmarked),unmarked,,,
henchman-mandroid,Mandroid,cvwr,henchman,koHeroCurrentPlayer,executable,WP-185,,packages/game-engine/src/villain/villainEffects.execute.ts#ko-hero
cvwr-villain-registration-enforcers-micromax,Micromax,cvwr,villain,koHeroCurrentPlayer,executable,WP-185,,packages/game-engine/src/villain/villainEffects.execute.ts#ko-hero
cvwr-villain-csa-special-marshals-moonstone,Moonstone,cvwr,villain,(unmarked),unmarked,,,
cvwr-villain-great-lakes-avengers-mr-immortal,Mr. Immortal,cvwr,villain,(unmarked),unmarked,,,
cvwr-villain-superhuman-registration-act-ms-marvel,Ms. Marvel,cvwr,villain,(unmarked),unmarked,,,
cvwr-villain-csa-special-marshals-penance,Penance,cvwr,villain,(unmarked),unmarked,,,
cvwr-villain-thunderbolts-radioactive-man,Radioactive Man,cvwr,villain,(unmarked),unmarked,,,
cvwr-villain-heroes-for-hire-shang-chi,Shang-Chi,cvwr,villain,(unmarked),unmarked,,,
cvwr-villain-shield-elite-sharon-carter-agent-13,"Sharon Carter, Agent 13",cvwr,villain,(unmarked),unmarked,,,
cvwr-villain-superhuman-registration-act-she-hulk,She-Hulk,cvwr,villain,(unmarked),unmarked,,,
cvwr-villain-thunderbolts-songbird,Songbird,cvwr,villain,(unmarked),unmarked,,,
cvwr-villain-great-lakes-avengers-squirrel-girl,Squirrel Girl,cvwr,villain,(unmarked),unmarked,,,
cvwr-villain-heroes-for-hire-tarantula,Tarantula,cvwr,villain,(unmarked),unmarked,,,
cvwr-villain-csa-special-marshals-venom,Venom,cvwr,villain,(unmarked),unmarked,,,
cvwr-villain-superhuman-registration-act-yellowjacket,Yellowjacket,cvwr,villain,(unmarked),unmarked,,,
dead-villain-deadpools-friends-blind-al-and-deuce,Blind Al and Deuce,dead,villain,(unmarked),unmarked,,,
dead-villain-evil-deadpool-corpse-d-e-a-d-p-o-o-l,D.E.A.D.P.O.O.L.,dead,villain,(unmarked),unmarked,,,
dead-villain-deadpools-friends-sluggo,Sluggo,dead,villain,gainWoundEachPlayer,executable,WP-185,,packages/game-engine/src/villain/villainEffects.execute.ts#gain-wound
dead-villain-deadpools-friends-taskmaster,Taskmaster,dead,villain,captureBystander,executable,WP-185,D-18506,packages/game-engine/src/villain/villainEffects.execute.ts#capture-bystander
dead-villain-evil-deadpool-corpse-the-deadpool-kid,The Deadpool Kid,dead,villain,(unmarked),unmarked,,,
dead-villain-evil-deadpool-corpse-ultimate-deadpool,Ultimate Deadpool,dead,villain,(unmarked),unmarked,,,
dead-villain-deadpools-friends-weasel,Weasel,dead,villain,(unmarked),unmarked,,,
dead-villain-evil-deadpool-corpse-wolverinepool,Wolverinepool,dead,villain,(unmarked),unmarked,,,
henchman-circus-of-crime,Circus of Crime,dims,henchman,(unmarked),unmarked,,,
henchman-spider-slayer,Spider-Slayer,dims,henchman,(unmarked),unmarked,,,
dkcy-villain-underworld-azazel,Azazel,dkcy,villain,(unmarked),unmarked,,,
dkcy-villain-underworld-blackheart,Blackheart,dkcy,villain,(unmarked),unmarked,,,
dkcy-villain-marauders-blockbuster,Blockbuster,dkcy,villain,(unmarked),unmarked,,,
dkcy-villain-streets-of-new-york-bullseye,Bullseye,dkcy,villain,(unmarked),unmarked,,,
dkcy-villain-marauders-chimera,Chimera,dkcy,villain,(unmarked),unmarked,,,
dkcy-villain-four-horsemen-death,Death,dkcy,villain,(unmarked),unmarked,,,
dkcy-villain-underworld-dracula,Dracula,dkcy,villain,(unmarked),unmarked,,,
dkcy-villain-emissaries-of-evil-egghead,Egghead,dkcy,villain,(unmarked),unmarked,,,
dkcy-villain-emissaries-of-evil-electro,Electro,dkcy,villain,(unmarked),unmarked,,,
dkcy-villain-four-horsemen-famine,Famine,dkcy,villain,(unmarked),unmarked,,,
dkcy-villain-mutant-liberation-front-forearm,Forearm,dkcy,villain,(unmarked),unmarked,,,
dkcy-villain-emissaries-of-evil-gladiator,Gladiator,dkcy,villain,(unmarked),unmarked,,,
dkcy-villain-streets-of-new-york-hammerhead,Hammerhead,dkcy,villain,(unmarked),unmarked,,,
dkcy-villain-streets-of-new-york-jigsaw,Jigsaw,dkcy,villain,(unmarked),unmarked,,,
dkcy-villain-underworld-lilith-daughter-of-dracula,"Lilith, Daughter of Dracula",dkcy,villain,(unmarked),unmarked,,,
henchman-maggia-goons,Maggia Goons,dkcy,henchman,koHeroCurrentPlayer,executable,WP-185,,packages/game-engine/src/villain/villainEffects.execute.ts#ko-hero
dkcy-villain-four-horsemen-pestilence,Pestilence,dkcy,villain,(unmarked),unmarked,,,
henchman-phalanx,Phalanx,dkcy,henchman,(unmarked),unmarked,,,
dkcy-villain-mutant-liberation-front-reignfire,Reignfire,dkcy,villain,(unmarked),unmarked,,,
dkcy-villain-emissaries-of-evil-rhino,Rhino,dkcy,villain,gainWoundEachPlayer,executable,WP-185,,packages/game-engine/src/villain/villainEffects.execute.ts#gain-wound
dkcy-villain-marauders-scalphunter,Scalphunter,dkcy,villain,(unmarked),unmarked,,,
dkcy-villain-streets-of-new-york-tombstone,Tombstone,dkcy,villain,(unmarked),unmarked,,,
dkcy-villain-marauders-vertigo,Vertigo,dkcy,villain,(unmarked),unmarked,,,
dkcy-villain-four-horsemen-war,War,dkcy,villain,(unmarked),unmarked,,,
dkcy-villain-mutant-liberation-front-wildside,Wildside,dkcy,villain,(unmarked),unmarked,,,
dkcy-villain-mutant-liberation-front-zero,Zero,dkcy,villain,(unmarked),unmarked,,,
dstr-villain-lords-of-the-netherworld-baron-mordo,Baron Mordo,dstr,villain,(unmarked),unmarked,,,
dstr-villain-fear-lords-dspayre,D'Spayre,dstr,villain,(unmarked),unmarked,,,
dstr-villain-fear-lords-dreamstalker,Dreamstalker,dstr,villain,(unmarked),unmarked,,,
dstr-villain-lords-of-the-netherworld-mindless-ones,Mindless Ones,dstr,villain,(unmarked),unmarked,,,
dstr-villain-fear-lords-nox,Nox,dstr,villain,(unmarked),unmarked,,,
dstr-villain-lords-of-the-netherworld-satana-hellstrom,Satana Hellstrom,dstr,villain,(unmarked),unmarked,,,
dstr-villain-lords-of-the-netherworld-satannish,Satannish,dstr,villain,(unmarked),unmarked,,,
dstr-villain-fear-lords-the-lurking-unknown,The Lurking Unknown,dstr,villain,(unmarked),unmarked,,,
dstr-villain-lords-of-the-netherworld-umar,Umar,dstr,villain,(unmarked),unmarked,,,
fear-villain-mighty-the-black-widow,Black Widow,fear,villain,(unmarked),unmarked,,,
fear-villain-mighty-the-dr-strange,Dr. Strange,fear,villain,(unmarked),unmarked,,,
